lane121s003951_bin.1.p	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	COMPLETE	10__10	K00844,K12407,K25026,K08074,K00918,K06859,K13810,K15916,K00850,K00918,K01623,K11645,K16305,K16306,K00150,K11389,K11389,K15633,K15634,K15635,K12406	K00845,K00886,K01810,K16370,K21071,K01624,K01803,K00134,K00927,K01834,K01689,K00873	
lane121s003951_bin.1.p	M00002	Glycolysis, core module involving three-carbon compounds	COMPLETE	6__6	K00150,K11389,K11389,K15633,K15634,K15635,K12406	K01803,K00134,K00927,K01834,K01689,K00873	
lane121s003951_bin.1.p	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	COMPLETE	8__8	K01610,K15633,K15634,K15635,K00150,K01623,K11645,K01622,K03841,K11532,K01086,K04041,K01622	K01596,K01689,K01834,K00927,K00134,K01803,K01624,K02446	
lane121s003951_bin.1.p	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	COMPLETE	8__8	K13937,K19243,K13937,K01807,K06859,K13810,K15916	K00036,K01057,K07404,K00033,K01783,K01808,K00615,K00616,K01810	
lane121s003951_bin.1.p	M00005	PRPP biosynthesis, ribose 5P => PRPP	COMPLETE	1__1		K00948	
lane121s003951_bin.1.p	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	COMPLETE	3__3	K13937,K19243,K13937	K00036,K01057,K07404,K00033	
lane121s003951_bin.1.p	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	COMPLETE	4__4	K13810,K01807	K00615,K00616,K01783,K01808	
lane121s003951_bin.1.p	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1 BLOCK MISSING	3__4	K01690	K00036,K01057,K07404,K01625	
lane121s003951_bin.1.p	M00009	Citrate cycle (TCA cycle, Krebs cycle)	COMPLETE	8__8	K05942,K01682,K00030,K00174,K00175,K00177,K00176,K01899,K01900,K18118,K00234,K00235,K00236,K00237,K18859,K18860,K00245,K00246,K00247,K01676,K01677,K01678,K00026,K00025	K01647,K01681,K00031,K00164,K00658,K00382,K01902,K01903,K00239,K00240,K00241,K00242,K00244,K01679,K00024,K00116	
lane121s003951_bin.1.p	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	COMPLETE	3__3	K05942,K01682,K00030	K01647,K01681,K00031	
lane121s003951_bin.1.p	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	COMPLETE	5__5	K00174,K00175,K00177,K00176,K01899,K01900,K18118,K00234,K00235,K00236,K00237,K18859,K18860,K00245,K00246,K00247,K01676,K01677,K01678,K00026,K00025	K00164,K00658,K00382,K01902,K01903,K00239,K00240,K00241,K00242,K00244,K01679,K00024,K00116	
